iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
43,1.1796424388885498,-166.68189094993926,0.00949483580790302,-166.66296089509876,-166.7042153853093,8.144271893135214,0.1,0.0051975250244140625,0.1059420108795166,0.041557774,0.010168093,-148.20992952220274,12000,0.8320631980895996,4.713414234293232e-07,4.6312491926644124e-07
44,1.2068545818328857,-166.65936883600583,0.008103667093044824,-166.64547725119192,-166.67923658925292,9.035994414046048,0.1,0.004647493362426758,0.10544037818908691,0.04575818,0.01010608,-150.05487345358304,12000,0.790186882019043,4.6889873993082187e-07,5.997685404729724e-07
45,1.1523165702819824,-166.64401074610873,0.007874988706200596,-166.62679120751673,-166.65822878843576,9.361945633457937,0.1,0.0068929195404052734,0.11257195472717285,0.041108485,0.008095583,-151.71378718283563,12000,0.7540652751922607,5.792474465489604e-07,3.5408152838851764e-07
46,1.210724115371704,-166.62802135128538,0.005700238807891318,-166.61983443562988,-166.6459985545055,13.034955182347128,0.1,0.004607677459716797,0.10596585273742676,0.015950773,0.0025185987,-153.2052105996806,12000,0.6634578704833984,3.5331626615813205e-07,6.105826256216698e-07
47,1.2221696376800537,-166.63490529981252,0.005424455203576002,-166.62650747221946,-166.64476806785402,21.667137668385827,0.1,0.004767417907714844,0.10880017280578613,0.028540177,0.0029046254,-154.5481800696938,12000,0.60805344581604,6.370237727391624e-07,6.116215807597937e-07
48,1.185856580734253,-166.63125664917666,0.00501337693800149,-166.62339041891076,-166.63899127300746,8.38710731172678,0.1,0.00550079345703125,0.12097573280334473,0.15012847,0.006447767,-155.75648772764208,12000,0.5961172580718994,6.094857345126426e-07,5.989410785676716e-07
49,1.195681095123291,-166.64095329581522,0.005916080527627107,-166.63057751347137,-166.65162788326174,19.37846234449597,0.1,0.004468202590942383,0.10879302024841309,0.054357976,0.0055341334,-156.8449342844594,12000,0.6108887195587158,5.674549131591056e-07,6.169560204492026e-07
50,1.2039601802825928,-166.64863407675168,0.009608769616120984,-166.6358028783405,-166.6804196895099,10.887571871144884,0.1,0.0061054229736328125,0.13855433464050293,0.2785885,0.0059936773,-157.82530426368865,12000,0.5752527713775635,6.754867594833305e-07,4.4540447072361174e-07
51,1.2162621021270752,-166.62535575494832,0.004240566079521882,-166.6196407958298,-166.63514154005983,16.80930378168909,0.1,0.004944801330566406,0.10837364196777344,0.005100182,0.0005849857,-158.70530941281464,12000,0.576526403427124,5.053725457103017e-07,9.479600691323107e-07
52,1.2476017475128174,-166.62370105839187,0.004263258164018245,-166.61553886352476,-166.63270163688915,14.78822009979106,0.1,0.0068967342376708984,0.14047694206237793,0.058692183,0.00410041,-159.49714857737237,12000,0.5318222045898438,9.566838947688132e-07,3.9828025407520727e-07
53,1.1911416053771973,-166.6148904241679,0.0038821734603854243,-166.60976310611105,-166.62651948814218,11.234712362964972,0.1,0.004858255386352539,0.10344958305358887,0.047471058,0.008198292,-160.20892276205194,12000,0.5196225643157959,3.8839378952014115e-07,7.022114221624347e-07
54,1.1982595920562744,-166.61019539482953,0.003720060984550303,-166.6055230667262,-166.6192010327826,11.68285118403021,0.1,0.006162405014038086,0.13858747482299805,0.049229365,0.008350549,-160.84905002532972,12000,0.5591609477996826,7.341800550341793e-07,3.912282517373005e-07
55,1.1979329586029053,-166.60713067904354,0.0021698040414051337,-166.6037836462484,-166.61305521223898,11.64683517230105,0.1,0.00863504409790039,0.10913610458374023,0.04686378,0.009272228,-161.4248580907011,12000,0.6026763916015625,3.913471095971257e-07,6.108891499119666e-07
56,1.2425975799560547,-166.6118242943078,0.003247599072261836,-166.6056685483898,-166.61650999602307,9.380504456664108,0.1,0.005368947982788086,0.1082460880279541,0.048906744,0.011697112,-161.94355471106178,12000,0.6276853084564209,6.375144782471911e-07,1.9278497566467195e-06
57,1.2285277843475342,-166.60601315900874,0.0021316662047602356,-166.6018284210455,-166.60975807661103,14.93543278066082,0.1,0.004533529281616211,0.10772442817687988,0.02781189,0.0047999998,-162.40980055585646,12000,0.6342000961303711,1.8585356002180242e-06,8.068846345682955e-07
58,1.2199664115905762,-166.60578698829124,0.0023291168667841818,-166.6020690538466,-166.61054152197832,11.30740472536036,0.1,0.004490852355957031,0.11279129981994629,0.025408864,0.0050349394,-162.82939919909992,12000,0.6100833415985107,8.13303123830935e-07,5.266740502432626e-07
59,1.2642037868499756,-166.60696905015752,0.0020569464752354886,-166.60315707602177,-166.6116699480369,8.526215512807424,0.1,0.004714250564575195,0.1064448356628418,0.04551444,0.012244285,-163.2071561842057,12000,0.5669517517089844,5.237157883284195e-07,9.24275693377749e-07
60,1.1779823303222656,-166.6088060034155,0.0024579911631384286,-166.6034160640034,-166.61380942685625,9.756582997173508,0.1,0.004929542541503906,0.10773086547851562,0.048163235,0.009037354,-163.5473211661267,12000,0.5363941192626953,9.181307243540014e-07,8.404559678481192e-07
61,1.1838419437408447,-166.6051389055322,0.002112770716142878,-166.6018320510874,-166.60936521849928,11.197535845494523,0.1,0.004586696624755859,0.10235929489135742,0.049799595,0.01072561,-163.85310294006723,12000,0.5231473445892334,8.514085915742471e-07,8.076822923395684e-07
62,1.175689697265625,-166.60642583995653,0.0023518475501415844,-166.6029559577232,-166.6121779292695,11.002305586049598,0.1,0.0044667720794677734,0.1078650951385498,0.04839149,0.009006522,-164.12843523005614,12000,0.4823598861694336,8.169732341102801e-07,5.171448727625546e-07
63,1.2032887935638428,-166.60697677807195,0.002364735753440218,-166.602233087006,-166.61161358401702,12.885783926265306,0.1,0.0066699981689453125,0.13402223587036133,0.20296402,0.010599806,-164.37628938485773,12000,0.4521498680114746,5.196120493626377e-07,1.3974717397754026e-06
64,1.207728624343872,-166.6027945689944,0.0011165408148177975,-166.60091051671967,-166.6045954855349,16.758905649709668,0.1,0.007752656936645508,0.12367606163024902,0.04180252,0.005177547,-164.5989399032714,12000,0.4575214385986328,1.444090785972458e-06,7.062650137666998e-07
65,1.2200570106506348,-166.60149166899598,0.0006272031227822319,-166.60072739342135,-166.60346463970183,10.698394563077926,0.1,0.006160259246826172,0.10829758644104004,0.04676244,0.010875042,-164.79919507984386,12000,0.5170049667358398,7.129485315120178e-07,4.651011595025955e-07
66,1.206486463546753,-166.6015949821359,0.0007854853879935606,-166.6008946418377,-166.60417381013843,10.362210695901608,0.1,0.005163431167602539,0.12237429618835449,0.04667648,0.00924676,-164.97943507007307,12000,0.5045833587646484,4.648629437132986e-07,8.058438338808235e-07
67,1.2324812412261963,-166.6016174620336,0.0008247827251252372,-166.60083715447044,-166.60365366489847,12.030457237892005,0.1,0.004500389099121094,0.10397934913635254,0.028523939,0.004475712,-165.14165330926912,12000,0.47054171562194824,8.068818840592568e-07,8.66699426870043e-07
